input_data,expected_output
kdjjkb, dgkbdsld
sjs, iugai
kgdksbaasd, sdougdblj
sadhjb, djdkjb
hkxa, wuigwuhwl
wugoufljb, cddl
wugdoe, hojhh
ougreouhr, fhvk
depigfp, fpihdpnkfi
odugeb, dudou
vjfdlf, hodhe
dlhgwqhd, qwihdqwph
douhqbdd, ewougog12d
dowqhoudg, fepihepi
hfj, fouehoh
ihewofvb, pihwpen
ofuwvbrk, douhqou
dqwoudhouq, gogb
ytoyg, gjl
gpkto, fkrk
shvdkvqkc, dljbqdb
dwouobc, qihdipq
wqeouyuqg, fkwekf
fihwei, fkeweo
fiehrgp, gpihr
ojgojlr, fjek
fjoj, gom
vjroje, foejl
geohr, krngt
dpwihdwefnkfnv, djbljblwlbf
fkgel, fjerlv
idhqwpdh, dewqhpfbwebv
sqwdyfdiwvd, douqwgoqbw
dqiywgfdw, douqwblc
yutrytrp, toti
tuyero, ritpie
nbvbz, xmzbm
foieohf, ojceo
cbwebc, rpiwhpwe
iqey, eui
