input_data,expected_output
Memantine HCL,memantine hydrochloride
Ppaliperidone (3-month),paliperidone
Trazidine,trazodone
Trazodone HCL,trazodone hydrochloride
Amitriptyline HCl,amitriptyline hydrochloride
Amitriptyline,amitriptyline
Ropiniroy,ropinirole
LePax,escitalopram
Mirtazapine Orodispersible,mirtazapine oral product
Mirtazapine Soltab,mirtazapine oral tablet
Mirtazapine,mirtazapine
Lyrica (Pregabalin),pregabalin
Panbesy,phentermine
Risperidex,risperidone
Carbamazepine CR,carbamazepine
Carbamazepine,carbamazepine
Dilatin,phenytoin
Xenical Orlistat,orlistat
Atomoxetine,atomoxetine
Fluvoxamine (Faverin),fluvoxamine
Faverin 50,fluvoxamine
Arip,aripiprazole
Selegin,selegilene
Quetiapine,quetiapine
Queriapine,quetiapine
Hydroxyzine Antihistamines,hydroxyzine
Imipramine,imipramine
Xanax Alprazolam,alprazolam
Neurontin Gabapentin,gabapentin Oral Tablet [Neurontin]
Clonotril,clonazepam
Clonazepam,clonazepam
Clonotril 0.5,clonazepam
Timoptol-XE,Timoptol
Timoptol (L Eye),Timoptol
Nexpro,esomeprazole
Esomeprazole Gastro-resistant,esomeprazole
Esoz,esomeprazole
Meteochloramide,esomeprazole
Daivonex Cream,calcipotriol
Brimonidine 0.15%,brimonidine
Allergan Alphagan P,Alphagan P
Elidel Cream,pimecrolimus Topical Cream [Elidel]
Apo-Nitrofurantoin,nitrofurantoin
Dermasone,betamethasone
Betamethasone,betamethasone
Betamethasone 0.05%,betamethasone
Betamethazone,betamethasone
Betamethasone Val (1/4S) 0.025% Ointment,betamethasone
Betamethasone Val. 0.1%,betamethasone
Betnovate Scalp Application,betnovate topical product
Zenpro Omeprazole,omeprazole
Omeprazole,omeprazole
PO Omeprazole,omeprazole
Omepra,omeprazole
Urimax 0.4,urimax
Harnal Tamsulosin Hydrochloride,tamsulosin hydrochloride
Tamuslosin Prolonged Release,tamsulosin
Harnal Ocas,tamsulosin
Tamsulosin,tamsulosin
Tamsulosin HCI,tamsulosin hydrochloride
Dulcolax Bisacodyl Delpharm Reims,bisacodyl
Alfuzosin HCL MR,alfuzosin hydrochloride
Alfoo,alfuzosin
Brinzolamide 1% Eye Drop,brinzolamide
Econazine Cream,econazole Topical Cream
Famotin,famotidine
Latanoprost 0.005% Eye Drop,latanoprost
Zalatan (for Glaucoma),latanoprost
Zalatan Eye Drop,latanoprost
Zalatan,latanoprost
Latanoprost 0.005% (Both Eye),latanoprost
Latanoprost 0.005%,latanoprost
Flybogel,fybogel
Super Selenium Complex,selenium|vitamin e oral product
Now Selenium,selenium
Loteprednol Lotemax Eye Drop,loteprednol etabonate Ophthalmic Gel [Lotemax]
Salofalk 500,mesalamine
Spironolectone,spironolactone
Hydrochlorothiazide,hydrochlorothiazide
Dorzolamide 2% (R Eye),dorzolamide Ophthalmic Product
Tasulose,tamsulosin
Dutasteride (Dutasvitae),dutasteride
Loteprednol Etabonate 5mg,loteprednol etabonate
Finpecia,finasteride
FINASTERIDE (PROPECIA),finasteride
Clotrimazole 1% Topical Soln,clotrimazole Topical Solution
Zeos Loratadine,loratadine
Lorat,loratadine
Cardiprin,aspirin
Voltaren VR4,voltaren
Voltaren DR4,voltaren
XYZAL (UCB),xyzal
Levovetrizine,levocetirizine
Zyrtec-R,zyrtec
Cetirizine HCL,cetirizine hydrochloride
Fexofenadine HCL,fexofenadine hydrochloride
Montelukast,montelukast
Ventolin Inhaler,Ventolin Inhalant Product
Guaifenesin 100mg/5ml Syrup,Guaifenesin 20 MG/ML Syrup
Allopurin,allopurinol
Allupurinol,Allopurinol
Chlorpheniramine,chlorpheniramine
Life Extension Melatonin,melatonin
Micera,Methoxy polyethylene glycol-epoetin beta
Medobeta 0.1%,betamethasone
Metoprolol Taltrate,metoprolol tartrate
Lisinopril-10 (Lisoril-10),Lisinopril
Lisoril-20,Lisinopril
Midorine Hydrochloride,Midodrine
Growell Scalp Lotion Minoxidil,minoxidil Topical Lotion
Warfarin,warfarin
Wafarin,warfarin
Puritan's Pride Lutigold Lutein,Lutein
Atenololo,Atenolol
Nebilit,Nebivolol
NEBIBOLOL,Nebivolol
Nebilet,Nebivolol
Nature's Garden Bilberry Fruit,Bilberry Extract
Letero,Letrozole
Telstan 40,Telmisartan
Nifetex-TR,atenolol/nifedipine
